position,title,artist,views
1,Ba Ba Bad Remix,"Kybba , Sean Paul , Ryan Castro & Busy Signal","4,803,846"
2,quédate,Beéle,"4,044,288"
3,La Plena (W Sound 05),"W Sound , Beéle & Ovy On The Drums","3,300,461"
4,top diesel,Beéle,"3,157,337"
5,El Mayor de los Ranas,Victor Valverde & Jr Torres,"2,545,918"
6,si te pillara,Beéle,"2,125,451"
7,no tiene sentido,Beéle,"2,072,214"
8,YOGURCITO,Blessd,"1,881,218"
9,AMISTA,Blessd & Ovy On The Drums,"1,756,236"
10,Papasito,KAROL G,"1,736,488"
11,SANKA,Ryan Castro & Dongo,"1,735,701"
12,Mal Amor,Luis Alberto Posada,"1,618,622"
13,Coleccionando Heridas,KAROL G & Marco Antonio Solís,"1,558,571"
14,Quien TV (Remix),Blessd & Ryan Castro,"1,529,368"
15,BOMBASTIK,"Ryan Castro , Blaiz Fayah & Tribal Kush","1,424,017"
16,mi refe,Beéle & Ovy On The Drums,"1,361,146"
17,La Foto De Los Dos,El Andariego,"1,351,483"
18,El Beneficio De La Duda,Grupo Firme,"1,313,479"
19,Parte & Choke,"Jombriel , Alex Krack & Jøtta","1,287,079"
20,"+57 (feat. Ovy On The Drums, J Balvin, Maluma, Ryan Castro & Blessd)","KAROL G , Feid & DFZM","1,189,695"
21,URUS BLUE,"Blessd , Los Money Makers & Prodmonja","1,109,431"
22,La Dueña De Mi Suerte,Ramiro Padilla & Joche Zuluaga,"1,040,190"
23,Ni Plata Ni Nada,Andres Franco,"1,024,196"
24,Triple Lavada (Remix) (feat. Víctor Mendivil),"Esau Ortiz , Luis R Conriquez , Óscar Maydon & Alemán","1,021,161"
25,Milagros,KAROL G,"1,006,452"
26,OJITOS ROJOS (REMIX),"Blessd , Ryan Castro & SOG","1,003,902"
27,Nuestro Sueño,Grupo Niche,"985,562"
28,DÓNDE,Kapo & Ryan Castro,"980,573"
29,REMEDIO,JC Reyes & Pirlo,"973,484"
30,FDSR,Ryan Castro & Maisak,"957,289"
31,Ivonny Bonita,KAROL G,"954,642"
32,Coqueta (Remix),Heredero & Jessi Uribe,"944,615"
33,Verano Rosa,KAROL G & Feid,"941,423"
34,No Te Quiero Perder,Binomio de Oro de América,"912,147"
35,Las Cartas,Luister La Voz & maikol el insoportable,"892,666"
36,Solcito,Miguel Bueno & Juan Duque,"884,232"
37,Corazoncito Negro,Binomio de Oro de América,"877,057"
38,Cierra los Ojos,Luis Alberto Posada,"876,211"
39,Golden,"HUNTR/X , EJAE , AUDREY NUNA , REI AMI & KPop Demon Hunters Cast","867,582"
40,ELECTROLIBONBON,Kris R.,"847,183"
41,Mujer Traidora (En Vivo),Andres Franco,"845,075"
42,UNA NOCHE DE LOCURA,Blessd,"839,513"
43,Ojalá,Ryan Castro,"839,460"
44,Perdóname (feat. Eddy Lover),La Factoria,"826,956"
45,Sin Ti No Hay Vida,"Luis Mateus , David Rendón & La Nueva Generación","814,653"
46,UWAIE,Kapo,"808,634"
47,JOKER,Blessd & Kris R.,"764,688"
48,i miss you,Beéle,"748,927"
49,Pagué Con Lágrimas,Argemiro Jaramillo,"736,818"
